"Mark";"Company name";"BvD ID number";"Country ISO Code";"NACE Rev. 2 Core code (4 digits)";"Operating revenue (Turnover) th USD 2014";"Total assets th USD 2014";"Current market capitalisation th USD";"Number of employees 2014"
"";"NAME";"BVDID";"CTRYISO";"NACECCOD2";"OPRE";"TOAS";"MARKETCP";"EMPL"
"1";"WAL-MART STORES, INC.";"US710415188";"US";"4719";"485,651,000";"203,490,000";"192,452,683";"2,200,000"
"2";"CLOSED JOINT-STOCK COMPANY VTB CAPITAL";"RU94102445";"RU";"6499";"0";"0";"0";"0"
"3";"CHINA PETROLEUM & CHEMICAL CORPORATION";"HK0000126873";"HK";"1920";"462,595,862";"237,190,397";"0";"358,571"
"4";"CHINA PETROLEUM & CHEMICAL CORPORATION";"CN30086PC";"CN";"0910";"430,578,865";"237,190,397";"76,142,946";"358,571"
"5";"ROYAL DUTCH SHELL PLC";"GB04366849";"GB";"0610";"421,117,000";"353,116,000";"65,933,462";"94,000"
"6";"CHINA NATIONAL PETROLEUM CORPORATION";"CN9360812942";"CN";"0610";"0";"0";"0";"0"
"7";"EXXON MOBIL CORP";"US135409005";"US";"1920";"394,105,000";"349,493,000";"334,223,025";"75,300"
"8";"PETROCHINA COMPANY LIMITED";"CN30081PC";"CN";"0610";"376,055,412";"393,115,389";"17,150,817";"534,652"
"9";"PETROCHINA COMPANY LIMITED";"HK0000125213";"HK";"0610";"375,263,289";"393,099,537";"0";"534,652"
"10";"BP PLC";"GB00102498";"GB";"1920";"353,568,000";"284,305,000";"104,809,193";"84,700"
"11";"SAUDI ARAMCO COMPANY";"SA0000026859";"SA";"0610";"350,000,000";"0";"0";"55,000"
"12";"VITOL HOLDING B.V.";"NL24126769";"NL";"6420";"0";"0";"0";"0"
"13";"VOLKSWAGEN AG";"DE2070000543";"DE";"2910";"253,890,289";"426,403,057";"21,758,352";"592,586"
"14";"SINOPEC SALES CO., LTD.";"CN9360645018";"CN";"4671";"0";"0";"0";"0"
"15";"HEALTH INSURANCE CLAIMS REVIEW & REIMBURSEMENT SERVICES";"JP414294496S";"JP";"6530";"0";"0";"0";"0"
"16";"TOYOTA MOTOR CORPORATION";"JP000001080JPN";"JP";"2910";"226,746,495";"397,384,321";"205,103,245";"344,109"
"17";"GLENCORE PLC";"GBJE107710";"GB";"0899";"221,073,000";"152,205,000";"26,181,742";"0"
"18";"GLENCORE INTERNATIONAL AG";"CHCHE106909694";"CH";"4672";"0";"0";"0";"0"
"19";"TOTAL S.A.";"FR542051180";"FR";"0610";"212,294,000";"229,798,000";"121,311,406";"100,307"
"20";"CHEVRON CORPORATION";"US940890210";"US";"1920";"199,941,000";"266,026,000";"168,904,504";"64,700"
"21";"E.ON RUHRGAS AUSTRIA GMBH";"AT9110289946";"AT";"0600";"0";"0";"0";"0"
"22";"SAMSUNG ELECTRONICS CO.,LTD.";"KR1301110006246";"KR";"2611";"187,579,357";"209,608,804";"154,442,615";"0"
"23";"APPLE INC.";"US942404110";"US";"2620";"182,795,000";"231,839,000";"628,496,986";"92,600"
"24";"MCKESSON CORPORATION";"US943207296";"US";"4645";"179,045,000";"53,870,000";"44,105,482";"70,400"
"25";"MERCEDES-BENZ SOUTH AFRICA LTD";"ZA196200027106";"ZA";"2932";"0";"0";"0";"0"
